Date,Open,High,Low,Close,Volume,Currency
2020-10-06,0.01883,0.01887,0.01694,0.01716,162775744,USD
2020-10-07,0.01716,0.01755,0.01648,0.01694,163974448,USD
2020-10-08,0.01695,0.01695,0.0155,0.01662,285206432,USD
2020-10-09,0.01662,0.01752,0.01619,0.01705,228563696,USD
2020-10-10,0.01705,0.01777,0.01693,0.01721,191939472,USD
2020-10-11,0.01721,0.01807,0.01714,0.0178,129698952,USD
2020-10-12,0.0178,0.01849,0.01769,0.01785,170335536,USD
2020-10-13,0.01785,0.01795,0.01738,0.01768,123503840,USD
2020-10-14,0.01768,0.01799,0.01707,0.01713,110471672,USD
2020-10-15,0.01713,0.01746,0.01658,0.01718,105789776,USD
2020-10-16,0.01718,0.01718,0.01601,0.01619,123810656,USD
2020-10-17,0.01619,0.01677,0.01602,0.01673,67393320,USD
2020-10-18,0.01673,0.01705,0.01646,0.01688,79734608,USD
2020-10-19,0.01688,0.0169,0.01611,0.01624,111785720,USD
2020-10-20,0.01624,0.01637,0.01538,0.01557,152758448,USD
2020-10-21,0.01559,0.01681,0.01553,0.01638,181836544,USD
2020-10-22,0.01631,0.01788,0.01612,0.01731,321456384,USD
2020-10-23,0.01731,0.01752,0.01649,0.01701,144124176,USD
2020-10-24,0.01701,0.01773,0.01682,0.01767,108657864,USD
2020-10-25,0.01767,0.01791,0.01715,0.01727,132794600,USD
2020-10-26,0.01727,0.01773,0.01613,0.01652,185824032,USD
2020-10-27,0.01652,0.01664,0.01561,0.01582,273323296,USD
2020-10-28,0.01582,0.01612,0.01483,0.01507,209444304,USD
2020-10-29,0.01507,0.01538,0.01365,0.01382,220659440,USD
2020-10-30,0.01383,0.01407,0.01295,0.01382,297534976,USD
2020-10-31,0.01382,0.01418,0.0136,0.01374,121710000,USD
2020-11-01,0.01374,0.01431,0.0136,0.01414,115808696,USD
2020-11-02,0.01414,0.01444,0.01337,0.01369,143773856,USD
2020-11-03,0.01369,0.01374,0.01255,0.0127,222634064,USD
2020-11-04,0.0127,0.01275,0.0117,0.01222,267989696,USD
2020-11-05,0.01225,0.01365,0.01212,0.01343,305261056,USD
2020-11-06,0.01343,0.01588,0.01339,0.01548,474859904,USD
2020-11-07,0.01548,0.01715,0.0139,0.01437,520549216,USD
2020-11-08,0.01437,0.01623,0.01413,0.01571,228961056,USD
2020-11-09,0.01571,0.0167,0.0153,0.01559,280941216,USD
2020-11-10,0.01559,0.0175,0.01541,0.01728,411932768,USD
2020-11-11,0.01728,0.01782,0.0165,0.01654,208304352,USD
2020-11-12,0.01654,0.01736,0.01571,0.01585,219236016,USD
2020-11-13,0.01587,0.01717,0.01576,0.01692,160141968,USD
2020-11-14,0.01692,0.01692,0.016,0.01671,119138384,USD
2020-11-15,0.01671,0.01707,0.01592,0.01642,170318784,USD
2020-11-16,0.01641,0.01686,0.01623,0.01663,129837216,USD
2020-11-17,0.01663,0.01821,0.01659,0.01768,328030464,USD
2020-11-18,0.01768,0.01878,0.01634,0.01706,349786272,USD
2020-11-19,0.01706,0.01799,0.01676,0.01723,239551184,USD
2020-11-20,0.01723,0.01839,0.01718,0.0179,243228352,USD
2020-11-21,0.0179,0.01989,0.01767,0.01989,347743328,USD
2020-11-22,0.01989,0.02016,0.01795,0.01912,417456640,USD
2020-11-23,0.01912,0.02184,0.01883,0.02113,429364192,USD
2020-11-24,0.02113,0.02255,0.02049,0.0216,426521664,USD
2020-11-25,0.0216,0.02389,0.02044,0.02092,374036000,USD
2020-11-26,0.02093,0.02147,0.01561,0.01771,625813184,USD
2020-11-27,0.01774,0.01848,0.0167,0.01766,191770368,USD
2020-11-28,0.01766,0.01899,0.01718,0.01872,153033040,USD
2020-11-29,0.01872,0.01896,0.01823,0.01884,152793312,USD
2020-11-30,0.01884,0.01976,0.01849,0.0196,215820800,USD
2020-12-01,0.0196,0.02008,0.01791,0.01866,254927504,USD
2020-12-02,0.01865,0.01949,0.0183,0.01932,137157200,USD
2020-12-03,0.01932,0.02096,0.01901,0.02078,231260384,USD
2020-12-04,0.02078,0.02109,0.01858,0.01875,288229408,USD
2020-12-05,0.01876,0.01972,0.01837,0.01969,128509272,USD
2020-12-06,0.01969,0.02011,0.01898,0.01956,151647504,USD
2020-12-07,0.01956,0.01957,0.01894,0.01915,90887712,USD
2020-12-08,0.01915,0.01915,0.01741,0.0176,160736784,USD
2020-12-09,0.0176,0.01817,0.01659,0.01809,164154640,USD
2020-12-10,0.01809,0.01815,0.01723,0.0177,104094832,USD
2020-12-11,0.0177,0.01793,0.01699,0.01744,121798272,USD
2020-12-12,0.01743,0.01808,0.01738,0.01785,103420088,USD
2020-12-13,0.01785,0.01842,0.01783,0.01816,100127072,USD
2020-12-14,0.01816,0.0186,0.01795,0.01838,112320552,USD
2020-12-15,0.01838,0.01986,0.01836,0.01946,282356832,USD
2020-12-16,0.01946,0.01984,0.01872,0.01947,223683360,USD
2020-12-17,0.01947,0.01977,0.01865,0.01896,351077280,USD
2020-12-18,0.01896,0.0208,0.01865,0.02055,244249056,USD
2020-12-19,0.02055,0.02083,0.01969,0.0199,220032144,USD
2020-12-20,0.0199,0.02012,0.01875,0.01918,173965440,USD
2020-12-21,0.01918,0.01969,0.01796,0.01809,190222432,USD
2020-12-22,0.01809,0.0188,0.01743,0.01861,133884520,USD
2020-12-23,0.01861,0.01873,0.01453,0.01525,255078656,USD
2020-12-24,0.01525,0.01657,0.01474,0.01641,207251888,USD
2020-12-25,0.01641,0.01713,0.01597,0.01662,197529040,USD
2020-12-26,0.01662,0.01978,0.01626,0.01926,291305920,USD
2020-12-27,0.01926,0.02005,0.01776,0.01827,397175296,USD
2020-12-28,0.01832,0.01962,0.0181,0.01888,245286496,USD
2020-12-29,0.01888,0.0191,0.01777,0.01846,193145888,USD
2020-12-30,0.01846,0.019,0.01785,0.01808,149210496,USD
2020-12-31,0.01808,0.01809,0.01695,0.01758,170284000,USD
2021-01-01,0.01758,0.01871,0.01733,0.01776,157500144,USD
2021-01-02,0.01776,0.0196,0.01722,0.01903,292019936,USD
2021-01-03,0.01903,0.02057,0.01878,0.01996,307539392,USD
2021-01-04,0.01996,0.02496,0.01962,0.02467,699104512,USD
2021-01-05,0.02468,0.02704,0.02359,0.02437,958427264,USD
2021-01-06,0.02437,0.03669,0.02391,0.03543,1858208384,USD
2021-01-07,0.03543,0.03947,0.0309,0.03297,1185160192,USD
2021-01-08,0.03297,0.03484,0.02769,0.03155,730483776,USD
2021-01-09,0.03159,0.03464,0.03074,0.03346,389748032,USD
2021-01-10,0.03346,0.03446,0.02747,0.03031,589929792,USD
2021-01-11,0.03031,0.03031,0.02293,0.02593,569814848,USD
2021-01-12,0.02593,0.02829,0.02504,0.026,343263232,USD
2021-01-13,0.026,0.03057,0.02476,0.02992,353642976,USD
2021-01-14,0.02992,0.03293,0.02908,0.03276,366235520,USD
